API 경로,개발순서,기능,기능설명,도메인,메서드,사용자/관리자
/mypage/coupon,2차,쿠폰함 (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/%EA%B8%B0%EB%8A%A5%EC%A0%95%EC%9D%98%EC%84%9C/%EC%BF%A0%ED%8F%B0%ED%95%A8%20845bdfb849fa8275b0da81acab416fcf.md),쿠폰함 조회,user/coupon,GET,사용자
/product/{product_id},1차,상품 상세 페이지 (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/%EA%B8%B0%EB%8A%A5%EC%A0%95%EC%9D%98%EC%84%9C/%EC%83%81%ED%92%88%20%EC%83%81%EC%84%B8%20%ED%8E%98%EC%9D%B4%EC%A7%80%20660bdfb849fa82a2845c8181cfad48dd.md),상품 상세,user/product,GET,사용자
/admin/qna/{id},2차,관리자_QNA관리 (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/%EA%B8%B0%EB%8A%A5%EC%A0%95%EC%9D%98%EC%84%9C/%EA%B4%80%EB%A6%AC%EC%9E%90_QNA%EA%B4%80%EB%A6%AC%20358bdfb849fa8226977d011e6ffec3a7.md),문의 상세,admin/qna,GET,관리자
/admin/order/{id}/status,1차,관리자_주문관리 (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/%EA%B8%B0%EB%8A%A5%EC%A0%95%EC%9D%98%EC%84%9C/%EA%B4%80%EB%A6%AC%EC%9E%90_%EC%A3%BC%EB%AC%B8%EA%B4%80%EB%A6%AC%2025abdfb849fa82e79b5f013173035bff.md)," 주문 상태 변경",admin/order,PATCH,관리자
/admin/product/{id},1차,관리자_상품 등록 / 수정 (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/%EA%B8%B0%EB%8A%A5%EC%A0%95%EC%9D%98%EC%84%9C/%EA%B4%80%EB%A6%AC%EC%9E%90_%EC%83%81%ED%92%88%20%EB%93%B1%EB%A1%9D%20%EC%88%98%EC%A0%95%2025fbdfb849fa834893e8019a956630aa.md)," 상품 수정",admin/product,PUT,관리자
/admin/qna/{id}/answer,2차,관리자_QNA관리 (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/%EA%B8%B0%EB%8A%A5%EC%A0%95%EC%9D%98%EC%84%9C/%EA%B4%80%EB%A6%AC%EC%9E%90_QNA%EA%B4%80%EB%A6%AC%20358bdfb849fa8226977d011e6ffec3a7.md),답변등록,admin/qna,POST,관리자
/cart,1차,장바구니 (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/%EA%B8%B0%EB%8A%A5%EC%A0%95%EC%9D%98%EC%84%9C/%EC%9E%A5%EB%B0%94%EA%B5%AC%EB%8B%88%204edbdfb849fa83b19a990144f3d9b7fc.md)," 장바구니 조회",user/cart,GET,사용자
/event/coupon/list,2차,이벤트페이지(쿠폰 다운로드) (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/%EA%B8%B0%EB%8A%A5%EC%A0%95%EC%9D%98%EC%84%9C/%EC%9D%B4%EB%B2%A4%ED%8A%B8%ED%8E%98%EC%9D%B4%EC%A7%80(%EC%BF%A0%ED%8F%B0%20%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C)%205cfbdfb849fa826e86a581f002540975.md),이벤트 쿠폰 목록,user/coupon,GET,사용자
/admin/product/{id}/status,1차,"관리자_상품관리 리스트(재고 포함) (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/%EA%B8%B0%EB%8A%A5%EC%A0%95%EC%9D%98%EC%84%9C/%EA%B4%80%EB%A6%AC%EC%9E%90_%EC%83%81%ED%92%88%EA%B4%80%EB%A6%AC%20%EB%A6%AC%EC%8A%A4%ED%8A%B8(%EC%9E%AC%EA%B3%A0%20%ED%8F%AC%ED%95%A8)%207dabdfb849fa826a985b81169ad782e0.md), 관리자_상품 등록 / 수정 (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/%EA%B8%B0%EB%8A%A5%EC%A0%95%EC%9D%98%EC%84%9C/%EA%B4%80%EB%A6%AC%EC%9E%90_%EC%83%81%ED%92%88%20%EB%93%B1%EB%A1%9D%20%EC%88%98%EC%A0%95%2025fbdfb849fa834893e8019a956630aa.md)",판매 상태 변경,admin/product,PATCH,관리자
/admin/category,3차,관리자_카테고리 페이지 (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/%EA%B8%B0%EB%8A%A5%EC%A0%95%EC%9D%98%EC%84%9C/%EA%B4%80%EB%A6%AC%EC%9E%90_%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%20%ED%8E%98%EC%9D%B4%EC%A7%80%20b1fbdfb849fa835fb69881cc4d460330.md)," 카테고리 리스트",admin/category,GET,관리자
/admin/order/{id}/refund,2차,관리자_주문관리 (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/%EA%B8%B0%EB%8A%A5%EC%A0%95%EC%9D%98%EC%84%9C/%EA%B4%80%EB%A6%AC%EC%9E%90_%EC%A3%BC%EB%AC%B8%EA%B4%80%EB%A6%AC%2025abdfb849fa82e79b5f013173035bff.md)," 환불 처리",admin/order,POST,관리자
/cart,1차,장바구니 (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/%EA%B8%B0%EB%8A%A5%EC%A0%95%EC%9D%98%EC%84%9C/%EC%9E%A5%EB%B0%94%EA%B5%AC%EB%8B%88%204edbdfb849fa83b19a990144f3d9b7fc.md),장바구니 담기,user/cart,POST,사용자
