사용자/관리자 구분,연관화면,도메인,기능,우선순위,기능설명,"API "
사용자,로그인,user/member,회원가입,상,신규 사용자가 회원가입을 수행한다," /member/join (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/member%20join%20995bdfb849fa82669e2381ebc716df41.md)"
사용자,회원가입,user/member,이메일인증,상,신규 사용자가 회원가입 시 메일로 인증번호를 보내주고 확인한다,"/member/email/send-code (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/member%20email%20send-code%20ee9bdfb849fa83f2825e0131fc8327c6.md), /member/email/verify-code  (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/member%20email%20verify-code%207adbdfb849fa82fd81c88162fc497873.md)"
사용자,로그인,user/member,로그인,상,기존 사용자가 인증을 수행한다,"/member/login (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/member%20login%20719bdfb849fa832e92b581ad4f30a51a.md), /member/token/refresh (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/member%20token%20refresh%20455bdfb849fa825ba1d80121cc48c750.md),  /member/logout (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/member%20logout%20accbdfb849fa8210ae6b015a6530369e.md)"
사용자,상품 페이지,user/product,상품리스트페이지,상,상품 리스트를 조회한다,/product/list (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/product%20list%200a0bdfb849fa8249bbcd0113f6d35ee1.md)
사용자,상품 페이지,user/product,상품 상세 페이지,상,상품 정보를 조회한다,/product/{product_id} (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/product%20%7Bproduct_id%7D%205b1bdfb849fa822c81ee81f73a09b957.md)
사용자,장바구니,user/cart,장바구니,상,기존 사용자가 장바구니에 등록한 상품을 조회한다,"/cart (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/cart%20361bdfb849fa823795bf815160622d8a.md), /cart (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/cart%20ca7bdfb849fa83c7ad0881ec3108f3b2.md), /cart/{item_id} (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/cart%20%7Bitem_id%7D%20d23bdfb849fa82d0b8c10166c901fc19.md), /cart (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/cart%20a71bdfb849fa82ea920e01953d76cf04.md)"
사용자,결제,user/order,주문정보입력 페이지(결제),상,기존 사용자가 구매를 하기위해 주문 정보를 입력한다,"/order/prepare (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/order%20prepare%2057ebdfb849fa821b9b4681f37f3ec0f7.md), /order/complete (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/order%20complete%20b57bdfb849fa8289ab1001a6c7d3e8fe.md)"
사용자,마이페이지,user/mypage,마이페이지 메인,상,기존 사용자가 마이페이지 페이지에 진입한다,
사용자,"마이페이지, 상단페이지",user/mypage,주문내역 조회,상,기존 사용자가 주문한 주문 내역을 확인한다,"/order/list (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/order%20list%20769bdfb849fa83f8bff08148f42f9844.md), /order/{order_id} (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/order%20%7Border_id%7D%20ff7bdfb849fa835b911f01daa91f12b9.md), /order/{order_id}/refund (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/order%20%7Border_id%7D%20refund%20b9fbdfb849fa8212b6a981598a6d9069.md)"
사용자,마이페이지,user/mypage,쿠폰함,상,기존 사용자가 가진 쿠폰함을 확인한다,/mypage/coupon (%EA%B8%B0%EB%8A%A5%EB%AA%85%EC%84%B8%EC%84%9C%20API%20%EB%AA%85%EC%84%B8%EC%84%9C/API%20%EC%A0%95%EC%9D%98%EC%84%9C/mypage%20coupon%2035abdfb849fa83d798d0017ca87fd2fd.md)
